"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-04-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"5:30","La vida y la integridad corporal","Interior","MUN064"
"2017-04-12","Homicidio doloso",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","La vida y la integridad corporal","Interior","MUN073"
"2017-04-20","Violencia familiar",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La familia","Interior","MUN053"
"2017-04-12","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-04-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"5:30","La vida y la integridad corporal","Interior","MUN064"
"2017-04-26","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-04-11","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-04-03","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-04-07","Robo a persona",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-17","Robo de autopartes",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-05-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"17:45","La vida y la integridad corporal","Interior","MUN035"
"2017-05-22","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-05-09","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","La vida y la integridad corporal","Interior","MUN073"
"2017-05-17","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-05-16","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-05-26","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"17:45","La vida y la integridad corporal","Interior","MUN064"
"2017-05-09","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Teocaltiche",91,"17:45","La libertad y la seguridad sexual","Interior","MUN091"
"2017-05-26","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-31","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","La vida y la integridad corporal","Interior","MUN035"
"2017-05-18","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Unión de San Antonio",109,"17:45","El patrimonio","Interior","MUN109"
"2017-05-15","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-05-02","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","La libertad y la seguridad sexual","Interior","MUN073"
"2017-05-28","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La vida y la integridad corporal","Interior","MUN053"
"2017-05-16","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-02","Violencia familiar",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La familia","Interior","MUN053"
"2017-05-27","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Teocaltiche",91,"17:45","La vida y la integridad corporal","Interior","MUN091"
"2017-05-08","Violencia familiar",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La familia","Interior","MUN053"
"2017-05-19","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-05-25","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-04","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"17:45","La vida y la integridad corporal","Interior","MUN035"
"2017-05-11","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-30","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La libertad y la seguridad sexual","Interior","MUN053"
"2017-05-20","Robo a persona",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-05-09","Robo a casa habitación",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
