"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-07-28","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Mazamitla",59,"17:45","La vida y la integridad corporal","Interior","MUN059"
"2017-07-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","La vida y la integridad corporal","Interior","MUN030"
"2017-07-14","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-07-26","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tuxcueca",107,"5:30","La vida y la integridad corporal","Interior","MUN107"
"2017-07-11","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-07-28","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-07-17","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-07-03","Robo a persona",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-08-07","Robo a negocio",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-08-10","Robo a persona",NA,NA,"NO DISPONIBLE","Tizapán el Alto",96,"5:30","El patrimonio","Interior","MUN096"
"2017-08-21","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-08-03","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","La libertad y la seguridad sexual","Interior","MUN050"
"2017-08-31","Robo a negocio",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-08-28","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-09-19","Robo a persona",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-09-23","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-09-16","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-09-23","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Jocotepec",50,"5:30","La libertad y la seguridad sexual","Interior","MUN050"
"2017-10-17","Violación",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La libertad y la seguridad sexual","Interior","MUN030"
"2017-10-30","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-10-18","Robo a persona",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-10-11","Robo a persona",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-10-04","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-10-21","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Tizapán el Alto",96,"5:30","El patrimonio","Interior","MUN096"
"2017-10-30","Robo casa habitación",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","El patrimonio","Interior","MUN059"
"2017-10-09","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","La libertad y la seguridad sexual","Interior","MUN030"
"2017-10-16","Robo casa habitación",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","El patrimonio","Interior","MUN059"
"2017-10-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","La vida y la integridad corporal","Interior","MUN030"
"2017-10-02","Robo a negocio",NA,NA,"NO DISPONIBLE","Jocotepec",50,"5:30","El patrimonio","Interior","MUN050"
"2017-11-30","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Concepción de Buenos Aires",26,"17:45","La vida y la integridad corporal","Interior","MUN026"
"2017-11-14","Robo a persona",NA,NA,"NO DISPONIBLE","Tizapán el Alto",96,"17:45","El patrimonio","Interior","MUN096"
"2017-11-13","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Jocotepec",50,"5:30","El patrimonio","Interior","MUN050"
"2017-11-16","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-11-15","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tuxcueca",107,"5:30","La vida y la integridad corporal","Interior","MUN107"
"2017-11-28","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-11-23","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","La vida y la integridad corporal","Interior","MUN050"
"2017-12-19","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-12-05","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","La vida y la integridad corporal","Interior","MUN050"
"2017-12-18","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","El patrimonio","Interior","MUN059"
"2017-12-11","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","La vida y la integridad corporal","Interior","MUN030"
"2017-12-26","Robo a negocio",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-12-07","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","La Manzanilla de la Paz",57,"5:30","El patrimonio","Interior","MUN057"
"2017-01-02","Robo casa habitación",-103.347671,20.28947,"SAN JUAN COSALA","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-01-20","Lesiones dolosas",-103.052177,20.15915,"EL PANTEON","Tizapán el Alto",96,"5:30","La vida y la integridad corporal","Interior","MUN096"
"2017-01-11","Lesiones dolosas",-103.023697,19.917694,"MAZAMITLA","Mazamitla",59,"17:45","La vida y la integridad corporal","Interior","MUN059"
