fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica,ID_municipio_unico
26/01/2018,Robo a casa habitación,NA,NA,NO DISPONIBLE,Bolaños,19,N.D.,El patrimonio,Interior,ENT14MUN019
15/03/2018,Violencia familiar,NA,NA,NO DISPONIBLE,Huejucar,41,N.D.,La familia,Interior,ENT14MUN041
20/06/2018,Violencia familiar,NA,NA,NO DISPONIBLE,Mezquitic,61,N.D.,La familia,Interior,ENT14MUN061
30/07/2018,Violencia familiar,NA,NA,NO DISPONIBLE,Colotlán,25,N.D.,La familia,Interior,ENT14MUN025
26/10/2018,Violencia familiar,NA,NA,NO DISPONIBLE,Colotlán,25,N.D.,La familia,Interior,ENT14MUN025
29/10/2019,Abuso sexual infantil,-103.2614956,22.12484714,CHIHUAHUA,Colotlán,25,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN025
24/01/2019,Abuso sexual infantil,-103.1990334,22.37983389,NO DISPONIBLE,Huejucar,41,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN041
22/02/2019,Abuso sexual infantil,-103.7277154,22.38854674,CENTRO,Mezquitic,61,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN061
28/02/2019,Abuso sexual infantil,-104.0255922,22.31019686,NO DISPONIBLE,Mezquitic,61,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN061
12/03/2019,Abuso sexual infantil,-103.4963912,21.83773138,NO DISPONIBLE,Totatiche,104,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN104
07/05/2019,Abuso sexual infantil,-103.4697274,21.87357133,NO DISPONIBLE,Totatiche,104,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN104
13/05/2019,Abuso sexual infantil,-103.5927086,21.98466756,CENTRO,Villa Guerrero,115,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN115
14/05/2019,Abuso sexual infantil,-103.8132512,21.68296001,DEL CENTRO,San Martín de Bolaños,76,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN076
04/06/2019,Abuso sexual infantil,-104.0230948,22.35463476,NO DISPONIBLE,Mezquitic,61,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN061
10/06/2019,Abuso sexual infantil,-103.2229245,22.1789901,DE TAPIAS,Santa María de los Angeles,81,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN081
03/07/2019,Abuso sexual infantil,-104.1279223,21.79387422,NO DISPONIBLE,Bolaños,19,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN019
09/07/2019,Abuso sexual infantil,-103.2511832,22.1044103,LAS GOLONDRINAS,Colotlán,25,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN025
15/07/2019,Abuso sexual infantil,-103.5287031,21.98700947,NO DISPONIBLE,Totatiche,104,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN104
